0000000        deadbeef        00000000        ffffffff        ffffffff
        357 276 255 336  \0  \0  \0  \0 377 377 377 377 377 377 377 377
0000020        ffffffff        ffffffff        ffffffff        ffffffff
        377 377 377 377 377 377 377 377 377 377 377 377 377 377 377 377
*
0000400


 Started ....
244 | ./Actor/Actor.cpp	setup:138 	|  CborQueue 3FFF1984:0 
245 | ./Actor/Tcp.cpp	Tcp:17 	| this : 3FFF1EA4 
245 | ./Actor/Tcp.cpp	TcpClient:495 	| this : 3FFF1EA4 
250 | ./Actor/Actor.cpp	onReceive:182 	|  Default handler event ? Dummy => INIT => Dummy
260 | ./Actor/Mqtt.cpp	onReceive:294 	| DISCONNECTED
262 | ./Actor/DWM1000Tag.cpp	init:214 	| HSPI
266 | ./Actor/DWM1000Tag.cpp	resetChip:136 	|  Reset DWM1000_Anchor 
292 | ./Actor/DWM1000Tag.cpp	initSpi:175 	| Init SPI 
292 | ./Actor/DWM1000Tag.cpp	enableIsr:167 	|  IRQ SET 
295 | ./Actor/DWM1000Tag.cpp	init:225 	| EUID : 1331654527
299 | ./Actor/DWM1000Tag.cpp	init:229 	| EUID : 1331654527
2442 | ./Actor/DWM1000Tag.cpp	init:240 	|  dwt_initialise done.
2462 | ./Actor/DWM1000Tag.cpp	init:244 	|  dwt_configure done.
2463 | ./Actor/DWM1000Tag.cpp	init:250 	|  device id : DECA0130, part id :10000C71, lot_id :10205EA9
5487 | ./Actor/Wifi.cpp	onReceive:118 	| IP Address : 192.168.0.213
5488 | ./Actor/Tcp.cpp	onReceive:517 	| TcpClient started. 3fff1ea4
5488 | ./Actor/Tcp.cpp	StrToIP:643 	|  convert  Ip address : test.mosquitto.org
5495 | ./Actor/Tcp.cpp	connect:483 	| TCP: Connect to domain test.mosquitto.org:1883
5504 | ./Actor/DWM1000Tag.cpp	onReceive:351 	|  SYS_STATUS :28200F2
5508 | ./Actor/DWM1000Tag.cpp	onReceive:359 	|  RX Timeout
5515 | ./Actor/DWM1000Tag.cpp	onReceive:368 	|  status reg.:28200F2,interrupts : 0
5686 | ./Actor/Tcp.cpp	dnsFoundCb:388 	| DNS: found ip 85.119.83.194
5686 | ./Actor/Tcp.cpp	dnsFoundCb:394 	| TCP: connecting...
5736 | ./Actor/Actor.cpp	onReceive:182 	|  Default handler event ? Mqtt => REPLY(CONNECT) => Dummy
5736 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
5738 | ./Actor/DWM1000Tag.cpp	onReceive:324 	| 
8544 | ./Actor/DWM1000Tag.cpp	onReceive:351 	|  SYS_STATUS :28200F2
8544 | ./Actor/DWM1000Tag.cpp	onReceive:359 	|  RX Timeout
8545 | ./Actor/DWM1000Tag.cpp	onReceive:368 	|  status reg.:28200F2,interrupts : 0
8552 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/dwm1000/polls 
8558 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
8562 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/dwm1000/interrupts 
8568 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
11575 | ./Actor/DWM1000Tag.cpp	onReceive:351 	|  SYS_STATUS :28200F2
11575 | ./Actor/DWM1000Tag.cpp	onReceive:359 	|  RX Timeout
11577 | ./Actor/DWM1000Tag.cpp	onReceive:368 	|  status reg.:28200F2,interrupts : 0
11583 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/dwm1000/polls 
11589 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
11593 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/dwm1000/interrupts 
11600 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
12478 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/online 
12478 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
12478 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/up_time 
12484 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
12488 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/heap_size 
12494 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
12581 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/online 
12581 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
12581 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/up_time 
12587 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
12591 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/heap_size 
